Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age_Group,Day of week,Time of day
20177021,NT,10,2017,Thursday,17:00,Single,No,No,No,80,Driver,Male,18,Outer Regional Australia,Darwin,Litchfield (M),Local Road,No,No,17_to_25,Weekday,Day
20177008,NT,10,2017,Tuesday,11:00,Single,No,No,No,110,Passenger,Female,34,Very Remote Australia,Northern Territory - Outback,West Daly (R),Access road,No,No,26_to_39,Weekday,Day
20173062,Qld,10,2017,Monday,11:00,Multiple,No,No,No,100,Driver,Male,39,,,,,No,No,26_to_39,Weekday,Day
20175087,WA,10,2017,Friday,7:00,Single,No,No,No,110,Driver,Male,34,Inner Regional Australia,Western Australia - Wheat Belt,York (S),Local Road,No,No,26_to_39,Weekday,Day
20176027,Tas,10,2017,Wednesday,7:00,Multiple,No,Yes,Yes,70,Driver,Female,33,Inner Regional Australia,Hobart,Hobart (C),National or State Highway,No,No,26_to_39,Weekday,Day
20175022,WA,10,2017,Tuesday,8:00,Single,No,No,No,110,Passenger,Male,26,Very Remote Australia,Western Australia - Outback (South),Dundas (S),National or State Highway,No,No,26_to_39,Weekday,Day
20173137,Qld,10,2017,Friday,13:00,Single,No,No,No,60,Motorcycle rider,Male,34,,,,,No,No,26_to_39,Weekday,Day
20171315,NSW,10,2017,Tuesday,15:00,Multiple,No,Yes,No,100,Driver,Male,29,Inner Regional Australia,New England and North West,Tamworth Regional,National or State Highway,No,No,26_to_39,Weekday,Day
20171103,NSW,10,2017,Monday,12:00,Multiple,No,No,No,100,Driver,Female,34,Outer Regional Australia,New England and North West,Glen Innes Severn,National or State Highway,No,No,26_to_39,Weekday,Day
20171115,NSW,10,2017,Wednesday,16:00,Multiple,No,No,No,100,Passenger,Male,63,Inner Regional Australia,Central West,Cabonne,National or State Highway,No,No,40_to_64,Weekday,Day
