Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age_Group,Day of week,Time of day
20174021,SA,11,2017,Monday,6:00,Single,No,No,No,100,Passenger,Male,7,Inner Regional Australia,South Australia - South East,Alexandrina (DC),Arterial Road,No,No,0_to_16,Weekday,Day
20175010,WA,11,2017,Wednesday,7:00,Single,No,No,No,110,Driver,Male,22,Very Remote Australia,Western Australia - Outback (North),Halls Creek (S),Arterial Road,No,No,17_to_25,Weekday,Day
20171079,NSW,11,2017,Wednesday,6:00,Single,No,No,No,100,Driver,Male,22,Outer Regional Australia,Coffs Harbour - Grafton,Bellingen,Arterial Road,No,No,17_to_25,Weekday,Day
20171146,NSW,11,2017,Wednesday,8:00,Multiple,No,Yes,No,100,Driver,Male,20,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,National or State Highway,No,No,17_to_25,Weekday,Day
20171116,NSW,11,2017,Monday,17:00,Multiple,No,Yes,No,100,Passenger,Female,34,Remote Australia,Central West,Lachlan,Arterial Road,No,No,26_to_39,Weekday,Day
20173086,Qld,11,2017,Friday,19:00,Multiple,No,No,No,80,Motorcycle rider,Male,49,,,,,No,No,40_to_64,Weekend,Night
20172132,Vic,11,2017,Wednesday,14:00,Multiple,No,No,Yes,100,Driver,Female,35,Outer Regional Australia,Warrnambool and South West,Glenelg (S),Arterial Road,No,No,26_to_39,Weekday,Day
20172102,Vic,11,2017,Monday,8:00,Multiple,No,Yes,No,50,Pedal cyclist,Male,35,Major Cities of Australia,Melbourne - Inner,Darebin (C),Sub-arterial Road,No,No,26_to_39,Weekday,Day
20172107,Vic,11,2017,Thursday,12:00,Single,No,No,Yes,100,Driver,Male,37,Outer Regional Australia,North West,Ararat (RC),Arterial Road,No,No,26_to_39,Weekday,Day
20172234,Vic,11,2017,Wednesday,16:00,Multiple,No,No,No,50,Motorcycle rider,Male,33,Major Cities of Australia,Melbourne - Outer East,Whitehorse (C),Local Road,No,No,26_to_39,Weekday,Day
20173122,Qld,11,2017,Sunday,2:00,Single,No,No,No,60,Pedestrian,Male,46,,,,,No,No,40_to_64,Weekend,Night
20171116,NSW,11,2017,Monday,17:00,Multiple,No,Yes,No,100,Passenger,Male,44,Remote Australia,Central West,Lachlan,Arterial Road,No,No,40_to_64,Weekday,Day
20173213,Qld,11,2017,Wednesday,7:00,Multiple,No,No,No,50,Pedal cyclist,Male,54,,,,,No,No,40_to_64,Weekday,Day
20173109,Qld,11,2017,Wednesday,6:00,Multiple,No,No,No,50,Pedal cyclist,Female,47,,,,,No,No,40_to_64,Weekday,Day
20172020,Vic,11,2017,Friday,15:00,Multiple,No,Yes,No,70,Driver,Male,50,Major Cities of Australia,Melbourne - Inner South,Kingston (C) (Vic.),Arterial Road,No,No,40_to_64,Weekday,Day
20172054,Vic,11,2017,Monday,13:00,Single,No,No,No,100,Passenger,Female,64,Inner Regional Australia,Hume,Mitchell (S),Arterial Road,No,No,40_to_64,Weekday,Day
20171351,NSW,11,2017,Tuesday,16:00,Single,No,No,No,100,Driver,Male,60,Outer Regional Australia,Capital Region,Snowy Monaro Regional,National or State Highway,No,No,40_to_64,Weekday,Day
20171073,NSW,11,2017,Wednesday,12:00,Single,No,No,No,100,Driver,Male,60,Outer Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Arterial Road,No,No,40_to_64,Weekday,Day
20172028,Vic,11,2017,Friday,16:00,Multiple,No,No,No,100,Driver,Female,46,Outer Regional Australia,Warrnambool and South West,Corangamite (S),Local Road,No,No,40_to_64,Weekday,Day
20171191,NSW,11,2017,Wednesday,15:00,Multiple,No,No,No,100,Pedal cyclist,Male,61,Inner Regional Australia,Central West,Bathurst Regional,Arterial Road,No,No,40_to_64,Weekday,Day
20174084,SA,11,2017,Monday,16:00,Multiple,No,No,No,100,Driver,Male,59,Outer Regional Australia,Barossa - Yorke - Mid North,Yorke Peninsula (DC),Collector Road,No,No,40_to_64,Weekday,Day
20171105,NSW,11,2017,Friday,8:00,Multiple,No,No,No,100,Driver,Male,63,Outer Regional Australia,Riverina,Leeton,Sub-arterial Road,No,No,40_to_64,Weekday,Day
20173215,Qld,11,2017,Monday,10:00,Multiple,No,No,Yes,100,Driver,Female,44,,,,,No,No,40_to_64,Weekday,Day
20174084,SA,11,2017,Monday,16:00,Multiple,No,No,No,100,Driver,Male,72,Outer Regional Australia,Barossa - Yorke - Mid North,Yorke Peninsula (DC),Collector Road,No,No,65_to_74,Weekday,Day
20171208,NSW,11,2017,Tuesday,13:00,Multiple,No,No,No,80,Passenger,Male,59,Major Cities of Australia,Sydney - South West,Penrith,Arterial Road,No,No,40_to_64,Weekday,Day
20171324,NSW,11,2017,Wednesday,7:00,Multiple,No,No,No,80,Passenger,Male,74,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Arterial Road,No,No,65_to_74,Weekday,Day
20175012,WA,11,2017,Saturday,23:00,Single,No,No,No,50,Pedestrian,Male,47,Very Remote Australia,Western Australia - Outback (North),Halls Creek (S),Local Road,No,No,40_to_64,Weekend,Night
20175079,WA,11,2017,Saturday,22:00,Single,No,No,No,50,Pedestrian,Male,36,,,Derby - West Ki,,No,No,26_to_39,Weekend,Night
20172147,Vic,11,2017,Sunday,1:00,Single,No,No,No,80,Pedestrian,Male,43,Outer Regional Australia,Hume,Mansfield (S),Arterial Road,No,No,40_to_64,Weekend,Night
20174069,SA,11,2017,Wednesday,18:00,Single,No,No,No,30,Pedestrian,Male,80,Major Cities of Australia,Adelaide - Central and Hills,Adelaide (C),Sub-arterial Road,No,No,75_or_older,Weekday,Night
20173011,Qld,11,2017,Wednesday,20:00,Single,No,No,No,60,Pedestrian,Male,42,,,,,No,No,40_to_64,Weekday,Night
20172137,Vic,11,2017,Wednesday,21:00,Single,No,No,No,70,Pedestrian,Male,47,Major Cities of Australia,Mornington Peninsula,Frankston (C),Sub-arterial Road,No,No,40_to_64,Weekday,Night
20174042,SA,11,2017,Wednesday,22:00,Single,No,No,No,60,Pedestrian,Male,60,Major Cities of Australia,Adelaide - West,West Torrens (C),Arterial Road,No,No,40_to_64,Weekday,Night
20171135,NSW,11,2017,Sunday,17:00,Single,No,No,No,110,Pedestrian,Male,8,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,National or State Highway,No,No,0_to_16,Weekend,Day
20171135,NSW,11,2017,Sunday,17:00,Single,No,No,No,110,Pedestrian,Female,27,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,National or State Highway,No,No,26_to_39,Weekend,Day
20171091,NSW,11,2017,Saturday,15:00,Single,No,No,No,60,Pedestrian,Male,68,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Local Road,No,No,65_to_74,Weekend,Day
20172124,Vic,11,2017,Saturday,22:00,Single,No,No,No,100,Driver,Male,66,Inner Regional Australia,Latrobe - Gippsland,South Gippsland (S),Sub-arterial Road,No,No,65_to_74,Weekend,Night
20172056,Vic,11,2017,Monday,17:00,Single,No,No,No,40,Pedestrian,Male,82,Major Cities of Australia,Melbourne - South East,Greater Dandenong (C),Arterial Road,No,No,75_or_older,Weekday,Day
20172067,Vic,11,2017,Thursday,12:00,Single,No,No,No,,Pedestrian,Male,84,Major Cities of Australia,Melbourne - West,Hobsons Bay (C),Collector Road,No,No,75_or_older,Weekday,Day
20171182,NSW,11,2017,Friday,12:00,Single,No,No,No,60,Pedestrian,Male,91,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,National or State Highway,No,No,75_or_older,Weekday,Day
20171152,NSW,11,2017,Wednesday,13:00,Single,No,No,Yes,110,Pedestrian,Male,54,Inner Regional Australia,Capital Region,Yass Valley,National or State Highway,No,No,40_to_64,Weekday,Day
20174035,SA,11,2017,Tuesday,12:00,Single,No,Yes,No,60,Pedestrian,Male,69,Major Cities of Australia,Adelaide - South,Holdfast Bay (C),Arterial Road,No,No,65_to_74,Weekday,Day
20171048,NSW,11,2017,Saturday,11:00,Multiple,No,No,No,40,Pedestrian,Female,62,Inner Regional Australia,Illawarra,Kiama,Sub-arterial Road,No,No,40_to_64,Weekend,Day
20171160,NSW,11,2017,Sunday,21:00,Single,No,No,No,80,Pedal cyclist,Male,67,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Sub-arterial Road,No,No,65_to_74,Weekend,Night
20176011,Tas,11,2017,Monday,22:00,Single,No,No,No,100,Driver,Male,24,Inner Regional Australia,Launceston and North East,Meander Valley (M),Arterial Road,No,No,17_to_25,Weekday,Night
20172157,Vic,11,2017,Friday,2:00,Multiple,No,No,No,100,Driver,Male,35,Inner Regional Australia,Bendigo,Greater Bendigo (C),Arterial Road,No,No,26_to_39,Weekday,Night
20171306,NSW,11,2017,Tuesday,22:00,Single,No,No,No,50,Motorcycle rider,Male,49,Major Cities of Australia,Central Coast,Central Coast,Collector Road,No,No,40_to_64,Weekday,Night
20175072,WA,11,2017,Thursday,0:00,Single,No,No,No,60,Pedestrian,Male,42,,,,,No,No,40_to_64,Weekday,Night
20173010,Qld,11,2017,Monday,23:00,Multiple,No,No,No,60,Pedestrian,Male,56,,,,,No,No,40_to_64,Weekday,Night
20174078,SA,11,2017,Wednesday,1:00,Single,No,No,No,110,Driver,Male,55,Very Remote Australia,South Australia - Outback,Streaky Bay (DC),Arterial Road,No,No,40_to_64,Weekday,Night
20171243,NSW,11,2017,Tuesday,5:00,Single,No,No,No,100,Driver,Male,71,Inner Regional Australia,Mid North Coast,Mid-Coast,National or State Highway,No,No,65_to_74,Weekday,Night
20173124,Qld,11,2017,Monday,19:00,Single,No,No,No,50,Pedestrian,Male,72,,,,,No,No,65_to_74,Weekday,Night
20172088,Vic,11,2017,Saturday,2:00,Single,No,No,No,100,Passenger,Male,36,Outer Regional Australia,Latrobe - Gippsland,East Gippsland (S),Local Road,No,No,26_to_39,Weekend,Night
